2.70, 0.06
0.61, -1.28
1.02, -1.33
1.69, -1.21
0.45, -0.32
1.70, -0.61
2.59, -0.45
0.86, -1.16
2.60, 0.31
0.87, -0.70
1.12, -1.33
0.39, -0.89
1.03, -0.88
0.11, 0.59
2.64, -0.24
2.70, 0.35
0.78, -0.67
1.10, -0.62
1.58, -0.90
1.10, -1.32
0.19, -0.33
2.06, -0.50
2.71, 0.41
1.83, -0.75
0.87, -1.22
0.31, -0.83
2.37, -0.00
2.02, -0.59
1.46, -1.14
1.23, -0.86
0.21, -0.24
1.47, -0.62
2.54, -0.33
0.57, -1.25
1.41, -0.71
2.29, -0.72
2.07, -0.71
2.97, 0.44
1.79, -0.29
2.34, -0.17
1.28, -1.27
0.25, -0.11
1.01, -1.15
0.85, -0.97
1.32, -0.74
2.31, -0.03
2.84, -0.01
1.44, -0.57
0.68, -1.45
2.06, -0.01
1.66, -1.23
0.80, -1.21
2.80, 0.47
0.04, 2.13
1.86, -0.19
2.80, 0.13
2.73, -0.30
2.53, -0.15
2.90, 0.23
0.15, 0.67
0.45, -0.32
1.75, -0.94
0.99, -1.19
0.09, 0.62
0.41, -1.10
1.56, -0.62
2.90, -0.23
0.14, 0.68
2.47, 0.14
2.14, -0.05
0.40, -0.73
2.22, 0.03
2.17, -0.78
0.76, -0.74
2.94, 0.40
2.68, 0.55
0.88, -1.22
0.68, -0.92
2.76, 0.02
2.57, 0.38
0.86, -1.48
2.91, 0.16
2.27, -0.47
0.15, 0.77
2.66, 0.03
1.43, -0.43
2.01, -0.50
0.17, 0.18
0.37, -0.65
0.16, -0.29
2.66, 0.02
1.00, -1.38
2.01, -0.87
2.60, 0.04
1.13, -0.92
1.42, -0.86
0.09, 1.05
2.04, -0.04
0.56, -0.82
2.21, 0.11
